1;4
1;11
1;8
2;1
2;10
2;5
3;4
3;10
3;13
4;3
4;5
4;10
5;7
5;8
5;14
6;1
6;9
7;14
8;8
8;9
9;6
9;9
9;10
10;1
10;2
10;9
11;1
11;2
11;9
12;1
12;4
12;10
13;1
13;10
14;1
14;2
14;9
15;9
15;6
15;4
16;1
16;6
16;9
17;4
17;8
17;11
18;4
18;8
18;10
19;10
19;11
19;13
20;12
20;2
20;4
21;9
21;10
21;12
22;4
22;10
22;12
23;2
23;6
23;9
24;3
24;10
24;12
25;4
25;10
25;11
26;3
26;10
26;12
27;2
27;6
27;9
28;1
28;10
28;12
29;1
29;4
29;7
30;1
30;9
30;10
31;4
31;11
31;8
32;4
32;9
32;2
33;2
33;6
33;9
34;4
34;7
34;8
35;2
35;12
36;9
36;3
36;11
37;3
37;11
38;4
39;2
39;3
39;11
40;14
40;4
40;8
41;2
41;5
41;10
42;2
42;6
42;9
